sample_id,true_class,true_is_attack,zscore_flagged_attack,isoforest_flagged_attack
DDoS-SYN_Flood_0000,DDoS-SYN_Flood,True,True,True
DDoS-SYN_Flood_0001,DDoS-SYN_Flood,True,True,True
DDoS-SYN_Flood_0002,DDoS-SYN_Flood,True,True,True
DDoS-SYN_Flood_0003,DDoS-SYN_Flood,True,True,True
DDoS-SlowLoris_0000,DDoS-SlowLoris,True,False,False
DDoS-SlowLoris_0001,DDoS-SlowLoris,True,False,False
DDoS-SlowLoris_0002,DDoS-SlowLoris,True,False,True
DDoS-SlowLoris_0003,DDoS-SlowLoris,True,False,True
DDoS-SynonymousIP_Flood_0000,DDoS-SynonymousIP_Flood,True,True,True
DDoS-SynonymousIP_Flood_0001,DDoS-SynonymousIP_Flood,True,True,True
DDoS-SynonymousIP_Flood_0002,DDoS-SynonymousIP_Flood,True,True,True
DDoS-SynonymousIP_Flood_0003,DDoS-SynonymousIP_Flood,True,True,True
DDoS-TCP_Flood_0000,DDoS-TCP_Flood,True,False,False
DDoS-TCP_Flood_0001,DDoS-TCP_Flood,True,False,False
DDoS-TCP_Flood_0002,DDoS-TCP_Flood,True,False,False
DDoS-TCP_Flood_0003,DDoS-TCP_Flood,True,False,True
DDoS-UDP_Flood_0000,DDoS-UDP_Flood,True,False,True
DDoS-UDP_Flood_0001,DDoS-UDP_Flood,True,False,True
DDoS-UDP_Flood_0002,DDoS-UDP_Flood,True,False,True
DDoS-UDP_Flood_0003,DDoS-UDP_Flood,True,False,True
DDoS-UDP_Fragmentation_0000,DDoS-UDP_Fragmentation,True,False,True
DDoS-UDP_Fragmentation_0001,DDoS-UDP_Fragmentation,True,False,True
DDoS-UDP_Fragmentation_0002,DDoS-UDP_Fragmentation,True,False,True
DDoS-UDP_Fragmentation_0003,DDoS-UDP_Fragmentation,True,False,True
DNS_Spoofing_0000,DNS_Spoofing,True,False,False
DNS_Spoofing_0001,DNS_Spoofing,True,False,False
DNS_Spoofing_0002,DNS_Spoofing,True,False,False
DNS_Spoofing_0003,DNS_Spoofing,True,False,False
DictionaryBruteForce_0000,DictionaryBruteForce,True,False,False
DictionaryBruteForce_0001,DictionaryBruteForce,True,False,False
DictionaryBruteForce_0002,DictionaryBruteForce,True,False,False
DictionaryBruteForce_0003,DictionaryBruteForce,True,False,False
DoS-HTTP_Flood_0000,DoS-HTTP_Flood,True,True,True
DoS-HTTP_Flood_0001,DoS-HTTP_Flood,True,True,True
DoS-HTTP_Flood_0002,DoS-HTTP_Flood,True,True,True
DoS-HTTP_Flood_0003,DoS-HTTP_Flood,True,True,True
DoS-SYN_Flood_0000,DoS-SYN_Flood,True,True,True
DoS-SYN_Flood_0001,DoS-SYN_Flood,True,True,True
DoS-SYN_Flood_0002,DoS-SYN_Flood,True,True,True
DoS-SYN_Flood_0003,DoS-SYN_Flood,True,True,True
DoS-TCP_Flood_0000,DoS-TCP_Flood,True,False,True
DoS-TCP_Flood_0001,DoS-TCP_Flood,True,False,True
DoS-TCP_Flood_0002,DoS-TCP_Flood,True,False,False
DoS-TCP_Flood_0003,DoS-TCP_Flood,True,False,True
DoS-UDP_Flood_0000,DoS-UDP_Flood,True,False,True
DoS-UDP_Flood_0001,DoS-UDP_Flood,True,False,True
DoS-UDP_Flood_0002,DoS-UDP_Flood,True,False,True
DoS-UDP_Flood_0003,DoS-UDP_Flood,True,False,True
MITM-ArpSpoofing_0000,MITM-ArpSpoofing,True,False,False
MITM-ArpSpoofing_0001,MITM-ArpSpoofing,True,True,False
MITM-ArpSpoofing_0002,MITM-ArpSpoofing,True,False,False
MITM-ArpSpoofing_0003,MITM-ArpSpoofing,True,False,False
Mirai-greeth_flood_0000,Mirai-greeth_flood,True,False,True
Mirai-greeth_flood_0001,Mirai-greeth_flood,True,False,True
Mirai-greeth_flood_0002,Mirai-greeth_flood,True,False,True
Mirai-greeth_flood_0003,Mirai-greeth_flood,True,False,True
Mirai-greip_flood_0000,Mirai-greip_flood,True,False,True
Mirai-greip_flood_0001,Mirai-greip_flood,True,False,True
Mirai-greip_flood_0002,Mirai-greip_flood,True,False,True
Mirai-greip_flood_0003,Mirai-greip_flood,True,False,True
Mirai-udpplain_0000,Mirai-udpplain,True,False,True
Mirai-udpplain_0001,Mirai-udpplain,True,False,True
Mirai-udpplain_0002,Mirai-udpplain,True,False,True
Mirai-udpplain_0003,Mirai-udpplain,True,False,True
Recon-HostDiscovery_0000,Recon-HostDiscovery,True,False,False
Recon-HostDiscovery_0001,Recon-HostDiscovery,True,False,False
Recon-HostDiscovery_0002,Recon-HostDiscovery,True,True,True
Recon-HostDiscovery_0003,Recon-HostDiscovery,True,True,True
Recon-OSScan_0000,Recon-OSScan,True,True,False
Recon-OSScan_0001,Recon-OSScan,True,False,False
Recon-OSScan_0002,Recon-OSScan,True,True,True
Recon-OSScan_0003,Recon-OSScan,True,True,True
Recon-PingSweep_0000,Recon-PingSweep,True,False,False
Recon-PingSweep_0001,Recon-PingSweep,True,False,False
Recon-PingSweep_0002,Recon-PingSweep,True,False,True
Recon-PingSweep_0003,Recon-PingSweep,True,False,False
Recon-PortScan_0000,Recon-PortScan,True,True,True
Recon-PortScan_0001,Recon-PortScan,True,False,False
Recon-PortScan_0002,Recon-PortScan,True,False,False
Recon-PortScan_0003,Recon-PortScan,True,True,True
SqlInjection_0000,SqlInjection,True,False,False
SqlInjection_0001,SqlInjection,True,False,False
SqlInjection_0002,SqlInjection,True,False,False
SqlInjection_0003,SqlInjection,True,False,True
Uploading_Attack_0000,Uploading_Attack,True,False,False
Uploading_Attack_0001,Uploading_Attack,True,False,False
Uploading_Attack_0002,Uploading_Attack,True,False,False
Uploading_Attack_0003,Uploading_Attack,True,False,False
VulnerabilityScan_0000,VulnerabilityScan,True,True,True
VulnerabilityScan_0001,VulnerabilityScan,True,False,False
VulnerabilityScan_0002,VulnerabilityScan,True,False,False
VulnerabilityScan_0003,VulnerabilityScan,True,False,False
XSS_0000,XSS,True,False,False
XSS_0001,XSS,True,False,False
XSS_0002,XSS,True,False,False
XSS_0003,XSS,True,False,False
